meeting_id,title,call_type,call_type_confidence,cluster_id,cluster_assisted_name,final_topic,summary_topics,overall_sentiment,sentiment_score
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,ambiguous,0.6,7,Incident Response & Outage Management,Incident Response & Outage Management,outage remediation;incident response;customer communication;security monitoring;postmortem planning;infrastructure reliability,mixed-negative,2.4
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,support,0.99,2,"Identity, Access & Provisioning",Support Troubleshooting & Case Resolution,billing dispute;seat overage;migration cleanup;identity management;billing adjustment;provisioning,mixed-positive,3.8
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,internal,0.99,5,Product Roadmap & Engineering Execution,Product Roadmap & Engineering Execution,pipeline reliability;kafka configuration;sprint planning;comply v2 launch;resource allocation;timeline risk,mixed-positive,3.6
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,external,0.99,4,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,iso 27001;compliance reporting;onboarding;healthcare;multi-framework coverage;audit preparation,very-positive,4.8
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,renewal;outage;competitive threat;compliance;cloud expansion;pricing,mixed-positive,3.4
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,internal,0.99,7,Incident Response & Outage Management,Compliance & Audit Readiness,soc 2 audit;access control;change management;incident tracking;vendor management;security training,mixed-positive,3.4
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,support,0.99,6,Support Troubleshooting & Case Resolution,Support Troubleshooting & Case Resolution,backup performance;agent version update;technical issue;customer retention;notification gap;escalation,mixed-negative,2.8
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,external,0.99,0,Support Troubleshooting & Case Resolution,"Renewal, Pricing & Commercial Negotiation",renewal;billing dispute;overage charges;compliance;contract negotiation;product add-on,mixed-positive,3.7
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,external,0.99,0,Support Troubleshooting & Case Resolution,Incident Response & Outage Management,outage;renewal;compliance;competitive evaluation;pricing;sla breach,mixed-negative,2.4
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,internal,0.861,4,Support Troubleshooting & Case Resolution,Compliance & Audit Readiness,launch readiness;compliance reporting;api rate limiting;documentation;incident impact;hipaa,mixed-positive,3.6
