meeting_id,title,call_type,final_topic,summary_marker_hits,keymoment_hits,transcript_marker_hits,top_friction_speakers,utt_negative_ratio,summary_sentiment_score,friction_score
01KQ5A966832A146DA4B7D41,Aegis / Summit Trust - Platform Concerns Discussion,external,"Identity, Access & Provisioning",6,2,12,Maria Santos:6;Alicia Monroe:6,0.4043,2.4,78.96
01KQBBF753B44DE677670E6D,Support Case #6147 - Summit Trust Detect Alert Delays,support,Support Troubleshooting & Case Resolution,4,3,13,David Kim:6;Gregory Fisk:4;Alicia Monroe:3,0.3171,2.4,78.02
01KQ9772B2348F500FB09D1E,Support Case #3677 - Coastal Living Co MFA Token Failures,support,Support Troubleshooting & Case Resolution,3,3,11,Elena Vasquez:6;Vanessa Cruz:5,0.3333,2.2,77.64
01KQC166F678CBA584AAFF8B,Support Case #7615 - Crestline Wealth Group Policy Sync Delay,support,Support Troubleshooting & Case Resolution,8,4,9,Sarah Chen:8;Derek Owens:1,0.3077,2.4,77.34
01KQBB7C4D4789DB2F3DA9C2,Support Case #1750 - Vanta Health Systems SIEM Connector Issue,support,Support Troubleshooting & Case Resolution,2,3,12,Dr. Linda Cheng:4;Priya Patel:4;Sarah Chen:2,0.3556,2.4,77.2
01KQ7BF0D56037FF89DC89B6,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,support,Support Troubleshooting & Case Resolution,4,4,4,Elena Vasquez:3;David Kim:1,0.6389,1.4,74.51
01KQEDB92E33CF9945A7F71B,URGENT: Cobalt Software - Aegis Detect Dashboard Down,external,Incident Response & Outage Management,4,2,7,David Kim:5;Lauren Bishop:2,0.5405,1.8,73.07
01KQ5EC1665DCFD7A6B62A59,Support Case #8749 - Coastal Living Co SAML Certificate Rotation Bug,support,Support Troubleshooting & Case Resolution,4,3,8,Vanessa Cruz:4;Elena Vasquez:3;Marcus Williams:1,0.4324,2.2,72.81
01KQ6A5CEAAFFBE3B0099E75,Support Case #6539 - Steelpoint Manufacturing LDAP Sync Failures,support,Support Troubleshooting & Case Resolution,4,3,9,Harold Jensen:5;Marcus Williams:4,0.2727,2.4,72.17
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,support,Support Troubleshooting & Case Resolution,2,3,10,Paula Schneider:7;Priya Patel:3,0.4062,2.4,71.43
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,external,Incident Response & Outage Management,4,3,5,Marcus Williams:4;Julia Tran:1,0.561,1.6,70.62
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,ambiguous,Incident Response & Outage Management,2,2,10,Brian Cho:4;Megan Lawson:2;Daniel Okafor:2,0.383,2.3,69.97
01KQDD5172176D02DB51360A,Support Case #3286 - Vanta Health Systems API Integration Error,support,Support Troubleshooting & Case Resolution,2,3,9,Dr. Linda Cheng:7;Priya Patel:2,0.359,2.4,68.47
01KQADC32D89E2B76B698E84,Support Case #6635 - Nova Retail Group SSO Login Failures,support,Support Troubleshooting & Case Resolution,1,2,10,Stephanie Blair:5;Sarah Chen:3;Elena Vasquez:1,0.4146,2.3,67.74
01KQ88B8EAEAA819C26CCBE7,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,external,Compliance & Audit Readiness,2,4,5,Elena Vasquez:5,0.6585,2.1,67.7
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,ambiguous,Incident Response & Outage Management,3,3,5,Priya Patel:2;Diana Reeves:2;Aisha Johnson:1,0.5273,1.8,67.28
01KQ94C2B8B9B4668F3D3491,Support Case #6573 - Ridgeline Logistics Detect Data Gaps,support,Support Troubleshooting & Case Resolution,2,3,7,Mark Ellison:3;Elena Vasquez:3;Sarah Chen:1,0.4286,2.1,66.46
01KQ46A9DE0AECB006D897A0,Detect Outage - Escalation Bridge,ambiguous,Incident Response & Outage Management,3,3,4,Diana Reeves:4,0.6098,1.8,65.95
