meeting_id,title,start_time,end_time,duration_minutes,participants_count,email_domains,summary_topics,overall_sentiment,sentiment_score,utt_sent_total,utt_sent_positive,utt_sent_neutral,utt_sent_negative,utt_sent_unknown,utt_sent_positive_ratio,utt_sent_neutral_ratio,utt_sent_negative_ratio,utt_sent_unknown_ratio
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,2026-03-16T09:30:00.000Z,2026-03-16T10:05:12.000Z,35.2,3,aegiscloud.com,outage remediation;incident response;customer communication;security monitoring;postmortem planning;infrastructure reliability,mixed-negative,2.4,43,0,38,5,0,0.0,0.8837,0.1163,0.0
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,2026-02-06T09:15:00.000Z,2026-02-06T09:38:48.000Z,23.8,2,aegiscloud.com;summittrust.com,billing dispute;seat overage;migration cleanup;identity management;billing adjustment;provisioning,mixed-positive,3.8,39,1,38,0,0,0.0256,0.9744,0.0,0.0
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,2026-02-16T10:00:00.000Z,2026-02-16T10:29:00.000Z,29.0,4,aegiscloud.com,pipeline reliability;kafka configuration;sprint planning;comply v2 launch;resource allocation;timeline risk,mixed-positive,3.6,40,0,40,0,0,0.0,1.0,0.0,0.0
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,2026-04-26T13:30:00.000Z,2026-04-26T13:58:48.000Z,28.8,3,aegiscloud.com;redwoodclinical.com,iso 27001;compliance reporting;onboarding;healthcare;multi-framework coverage;audit preparation,very-positive,4.8,39,28,10,1,0,0.7179,0.2564,0.0256,0.0
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,2026-04-11T14:15:00.000Z,2026-04-11T14:56:12.000Z,41.2,2,aegiscloud.com;cobaltsoftware.com,renewal;outage;competitive threat;compliance;cloud expansion;pricing,mixed-positive,3.4,42,7,31,4,0,0.1667,0.7381,0.0952,0.0
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,2026-02-26T10:15:00.000Z,2026-02-26T10:51:54.000Z,36.9,5,aegiscloud.com,soc 2 audit;access control;change management;incident tracking;vendor management;security training,mixed-positive,3.4,57,0,53,4,0,0.0,0.9298,0.0702,0.0
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,2026-02-21T11:30:00.000Z,2026-02-21T11:45:48.000Z,15.8,2,aegiscloud.com;brightpathcommerce.com,backup performance;agent version update;technical issue;customer retention;notification gap;escalation,mixed-negative,2.8,35,4,18,13,0,0.1143,0.5143,0.3714,0.0
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,2026-02-25T15:00:00.000Z,2026-02-25T15:33:30.000Z,33.5,3,aegiscloud.com;atlasprecision.com,renewal;billing dispute;overage charges;compliance;contract negotiation;product add-on,mixed-positive,3.7,43,2,41,0,0,0.0465,0.9535,0.0,0.0
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,2026-03-19T16:00:00.000Z,2026-03-19T16:45:00.000Z,45.0,3,aegiscloud.com;quantumedge.com,outage;renewal;compliance;competitive evaluation;pricing;sla breach,mixed-negative,2.4,44,7,22,15,0,0.1591,0.5,0.3409,0.0
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,2026-03-24T14:45:00.000Z,2026-03-24T15:24:18.000Z,39.3,2,aegiscloud.com,launch readiness;compliance reporting;api rate limiting;documentation;incident impact;hipaa,mixed-positive,3.6,46,5,38,3,0,0.1087,0.8261,0.0652,0.0
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,2026-03-14T11:45:00.000Z,2026-03-14T12:28:24.000Z,43.4,4,aegiscloud.com;meridiancapital.com,outage;churn risk;infrastructure reliability;compliance;vendor review;incident communication,mixed-negative,2.4,48,8,24,16,0,0.1667,0.5,0.3333,0.0
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,2026-03-12T13:45:00.000Z,2026-03-12T14:33:00.000Z,48.0,4,aegiscloud.com,product outage;churn risk;sla compliance;incident communication;internal monitoring failure;customer escalation,negative,1.8,55,0,26,29,0,0.0,0.4727,0.5273,0.0
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,2026-03-26T14:00:00.000Z,2026-03-26T14:19:18.000Z,19.3,2,aegiscloud.com;meridiancapital.com,feature request;granular restore;backup and recovery;rto compliance;aws ebs;workaround,mixed-positive,3.4,38,3,32,3,0,0.0789,0.8421,0.0789,0.0
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,2026-03-20T15:30:00.000Z,2026-03-20T15:56:12.000Z,26.2,5,aegiscloud.com,platform outage;competitive displacement;customer retention;post-mortem;product launch;compliance,mixed-negative,2.3,47,0,29,18,0,0.0,0.617,0.383,0.0
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,2026-03-06T13:30:00.000Z,2026-03-06T13:53:18.000Z,23.3,3,aegiscloud.com;stratoscloud.io,compliance automation;soc 2;iso 27001;audit preparation;product demo;platform integration,very-positive,4.7,39,29,9,1,0,0.7436,0.2308,0.0256,0.0
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,2026-03-12T15:45:00.000Z,2026-03-12T16:06:06.000Z,21.1,2,aegiscloud.com;blackridgeinvest.com,service outage;threat monitoring failure;sla breach;churn risk;incident escalation;proactive communication failure,very-negative,1.6,41,3,15,23,0,0.0732,0.3659,0.561,0.0
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,2026-04-13T11:45:00.000Z,2026-04-13T12:32:36.000Z,47.6,5,aegiscloud.com,roadmap planning;identity & access management;scim / provisioning;adaptive mfa;compliance integration;competitive landscape,positive,4.4,46,26,20,0,0,0.5652,0.4348,0.0,0.0
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,2026-03-14T17:15:00.000Z,2026-03-14T17:26:24.000Z,11.4,2,aegiscloud.com;ridgelinelogistics.com,product outage;alert latency;sla breach;incident communication;ot security;service credits,mixed-negative,2.4,32,2,17,13,0,0.0625,0.5312,0.4062,0.0
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,2026-03-12T12:15:00.000Z,2026-03-12T13:03:06.000Z,48.1,2,aegiscloud.com;northstarpharma.com,outage;compliance;churn risk;sla review;incident response;renewal,mixed-negative,2.1,48,4,25,19,0,0.0833,0.5208,0.3958,0.0
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,2026-03-10T13:15:00.000Z,2026-03-10T13:44:54.000Z,29.9,4,aegiscloud.com,outage;pipeline failure;customer escalation;incident response;data loss;technical debt,negative,1.8,39,0,11,28,0,0.0,0.2821,0.7179,0.0
01KQ38FE02AEE5AA5157F042,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,2026-04-08T15:15:00.000Z,2026-04-08T15:29:06.000Z,14.1,2,aegiscloud.com;pinnacleins.com,product bug;compliance reporting;pdf rendering;new release issue;audit deadline;workaround,mixed-positive,3.4,40,3,37,0,0,0.075,0.925,0.0,0.0
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,2026-04-21T14:15:00.000Z,2026-04-21T15:04:06.000Z,49.1,4,aegiscloud.com;blackridgeinvest.com,hipaa compliance;compliance reporting;proof of concept;logvault integration;multi-framework support;audit automation,very-positive,4.7,46,34,9,3,0,0.7391,0.1957,0.0652,0.0
01KQ3C837D7EF689408DCF95,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,2026-03-04T10:15:00.000Z,2026-03-04T10:34:06.000Z,19.1,3,aegiscloud.com;pineridge.io,aws s3 connector;backup failure;403 error;iam permissions;service control policies;connector configuration,mixed-positive,3.9,38,4,34,0,0,0.1053,0.8947,0.0,0.0
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,2026-03-18T16:30:00.000Z,2026-03-18T16:51:24.000Z,21.4,3,aegiscloud.com,outage post-mortem;infrastructure reliability;customer communication;product visibility;roadmap prioritization;renewal risk,mixed-negative,2.8,41,3,34,4,0,0.0732,0.8293,0.0976,0.0
01KQ3D8C1EF16C042F31FAFD,Aegis / Trailhead Marketplace - Renewal Confirmation,2026-04-05T14:30:00.000Z,2026-04-05T15:16:36.000Z,46.6,3,aegiscloud.com;trailheadmkt.com,renewal;compliance;outage follow-up;product upsell;pricing;pci dss,positive,4.5,49,36,11,2,0,0.7347,0.2245,0.0408,0.0
01KQ3F90FF9EBC3DB3632514,Identity Team - Sprint Retro,2026-03-28T16:00:00.000Z,2026-03-28T16:26:00.000Z,26.0,4,aegiscloud.com,sprint retrospective;identity management;sprint planning;estimation;scim provisioning;comply integration,mixed-positive,3.4,41,7,26,8,0,0.1707,0.6341,0.1951,0.0
01KQ410FB7E434BA3F99EE7D,Aegis / Axiom Labs - Multi-Year Renewal,2026-04-17T09:45:00.000Z,2026-04-17T10:33:48.000Z,48.8,3,aegiscloud.com;axiomlabs.dev,renewal;contract negotiation;api rate limits;compliance reporting;platform outage;competitive displacement,mixed-positive,4.2,47,36,11,0,0,0.766,0.234,0.0,0.0
